mode,seed,n_planes,ari,time_sec,n_true_families,n_pred_families
greedy,11,700,0.39423521435051656,2.8561611019999873,131,426
connected,11,700,0.6341403043583861,0.011393385000019407,131,352
kmeans,11,700,0.006795537249635192,0.12863247000001365,131,50
dbscan,11,700,0.6341403043583861,0.08552040500001112,131,352
greedy,27,700,0.36503600149551174,2.953409106000038,125,435
connected,27,700,0.5823787255213454,0.011178755999992518,125,367
kmeans,27,700,0.006622737177323191,0.0699538679999705,125,50
dbscan,27,700,0.5823787255213454,0.03784694399996624,125,367
greedy,42,700,0.39239981564670995,2.797663311000008,130,427
connected,42,700,0.6385063107935013,0.010097768999969503,130,350
kmeans,42,700,0.007002911391614918,0.09533724900001062,130,50
dbscan,42,700,0.6385063107935013,0.07138508400004184,130,350
