variant,iterations,run_index,total_runtime_s,avg_runtime_us
legacy,5000.0,1.0,1.5829331410000123,316.58662820000245
current,5000.0,1.0,0.015598179000107848,3.1196358000215696
ratio_current_over_legacy,5000.0,1.0,0.009853972095279877,0.009853972095279877
legacy,5000.0,2.0,1.6027048369999193,320.54096739998386
current,5000.0,2.0,0.014386765999915951,2.8773531999831903
ratio_current_over_legacy,5000.0,2.0,0.008976553678371831,0.008976553678371831
legacy,5000.0,3.0,1.52906347499993,305.812694999986
current,5000.0,3.0,0.014247134000015649,2.8494268000031298
ratio_current_over_legacy,5000.0,3.0,0.009317555636476309,0.009317555636476309
legacy,5000.0,4.0,1.555670839999948,311.1341679999896
current,5000.0,4.0,0.014478031000180636,2.895606200036127
ratio_current_over_legacy,5000.0,4.0,0.00930661591637285,0.00930661591637285
legacy,20000.0,1.0,6.198846081000056,309.9423040500028
current,20000.0,1.0,0.05738015399992946,2.869007699996473
ratio_current_over_legacy,20000.0,1.0,0.009256586346901576,0.009256586346901576
legacy,20000.0,2.0,6.116387126000063,305.81935630000316
current,20000.0,2.0,0.06536465099998168,3.268232549999084
ratio_current_over_legacy,20000.0,2.0,0.010686807367395698,0.010686807367395698
legacy,20000.0,3.0,6.252177175999805,312.60885879999023
current,20000.0,3.0,0.057915542000046116,2.895777100002306
ratio_current_over_legacy,20000.0,3.0,0.009263259880472705,0.009263259880472705
legacy,20000.0,4.0,6.8994502810000995,344.972514050005
current,20000.0,4.0,0.058249398000043584,2.912469900002179
ratio_current_over_legacy,20000.0,4.0,0.008442614357328208,0.008442614357328208
