repo_label,repo_path,dataset,n_samples,n_features,pair,runtime_s,winning_count,other_count,total_pool,families,avg_planes_per_family,max_planes_per_family,winners_precision,winners_recall,winners_f1,winners_lift,others_precision,others_recall,others_f1,others_lift
current,/workspace/PureSheShe,iris,150,4,0-1,1.057442156999997,54,302,356,54,6.592592592592593,16,0.7592696251694704,0.9244444444444445,0.8092934136001602,1.5185392503389408,0.7871196949476141,0.7974834437086092,0.7402101457321938,1.5742393898952283
current,/workspace/PureSheShe,iris,150,4,0-2,1.057442156999997,54,302,356,54,6.592592592592593,16,0.853424682682123,0.9244444444444445,0.8741312347397515,1.706849365364246,0.8696546023210263,0.8752317880794703,0.8489512350926954,1.7393092046420526
current,/workspace/PureSheShe,iris,150,4,1-2,1.057442156999997,54,302,356,54,6.592592592592593,16,0.6687170593437379,0.807037037037037,0.6864982408941315,1.3374341186874759,0.6309869356862331,0.7207284768211921,0.6152383457547829,1.2619738713724662
current,/workspace/PureSheShe,wine,178,13,0-1,9.315486610999983,137,313,450,137,3.2846715328467155,14,0.7574671628702357,0.6808708243522748,0.6581235119612552,1.551094117033585,0.8106710306612802,0.6571714905232554,0.6534441475342913,1.5727709418142228
current,/workspace/PureSheShe,wine,178,13,0-2,9.315486610999983,137,313,450,137,3.2846715328467155,14,0.8003653097478802,0.7202642377005237,0.717572665264325,1.5565240213379385,0.833404916041554,0.7426569466255122,0.7495439815939706,1.7313338168271102
current,/workspace/PureSheShe,wine,178,13,1-2,9.315486610999983,137,313,450,137,3.2846715328467155,14,0.7936191696874094,0.7028567389739898,0.6984040386674868,1.4359326090812101,0.7646319105461733,0.6831576519821806,0.66811599056146,1.595196672908539
current,/workspace/PureSheShe,synthetic_mix,800,10,0-1,21.99040979800003,143,457,600,143,4.195804195804196,12,0.6362481825245373,0.7675170502124838,0.6742181973017753,1.2709457112374782,0.6780362225997189,0.6634039542952956,0.6338800760053256,1.3565521321798906
current,/workspace/PureSheShe,synthetic_mix,800,10,0-2,21.99040979800003,143,457,600,143,4.195804195804196,12,0.6850017516452899,0.8024935955133975,0.7210584350790328,1.3661064914036687,0.7295897095970739,0.7410214052039776,0.7106564583807672,1.4603150008392427
current,/workspace/PureSheShe,synthetic_mix,800,10,0-3,21.99040979800003,143,457,600,143,4.195804195804196,12,0.581180620742733,0.777530857341884,0.651642867696291,1.1562081062437612,0.6023200886952219,0.6196882214740707,0.5658156479004712,1.2078898507324092
current,/workspace/PureSheShe,synthetic_mix,800,10,1-2,21.99040979800003,143,457,600,143,4.195804195804196,12,0.6324434767846309,0.7197096684410118,0.6428537938884492,1.2630097320384996,0.6758232183159822,0.6400744091359395,0.6229678343814583,1.3526097084729647
current,/workspace/PureSheShe,synthetic_mix,800,10,1-3,21.99040979800003,143,457,600,143,4.195804195804196,12,0.649931204288636,0.7117184656392173,0.6540982933906625,1.2913912120853155,0.6832885525674319,0.705399459731853,0.6711324196461191,1.372246345617613
current,/workspace/PureSheShe,synthetic_mix,800,10,2-3,21.99040979800003,143,457,600,143,4.195804195804196,12,0.6252184929089548,0.6876598274821625,0.6305053859521872,1.2436405963512718,0.6365220124667652,0.6769575914427574,0.6371328392014324,1.2756167786580532
previous,/workspace/PureSheShe_prev,iris,150,4,0-1,1.1162049239999874,6,151,157,54,2.9074074074074074,3,nan,nan,nan,nan,nan,nan,nan,nan
previous,/workspace/PureSheShe_prev,iris,150,4,0-2,1.1162049239999874,6,151,157,54,2.9074074074074074,3,nan,nan,nan,nan,nan,nan,nan,nan
previous,/workspace/PureSheShe_prev,iris,150,4,1-2,1.1162049239999874,6,146,152,54,2.814814814814815,3,nan,nan,nan,nan,nan,nan,nan,nan
previous,/workspace/PureSheShe_prev,wine,178,13,0-1,9.762322208,6,441,447,176,2.539772727272727,3,nan,nan,nan,nan,nan,nan,nan,nan
previous,/workspace/PureSheShe_prev,wine,178,13,0-2,9.762322208,6,440,446,176,2.534090909090909,3,nan,nan,nan,nan,nan,nan,nan,nan
previous,/workspace/PureSheShe_prev,wine,178,13,1-2,9.762322208,6,442,448,176,2.5454545454545454,3,nan,nan,nan,nan,nan,nan,nan,nan
previous,/workspace/PureSheShe_prev,synthetic_mix,800,10,0-1,23.993895597000005,6,588,594,211,2.815165876777251,4,nan,nan,nan,nan,nan,nan,nan,nan
previous,/workspace/PureSheShe_prev,synthetic_mix,800,10,0-2,23.993895597000005,6,591,597,211,2.829383886255924,4,nan,nan,nan,nan,nan,nan,nan,nan
previous,/workspace/PureSheShe_prev,synthetic_mix,800,10,0-3,23.993895597000005,6,591,597,211,2.829383886255924,4,nan,nan,nan,nan,nan,nan,nan,nan
previous,/workspace/PureSheShe_prev,synthetic_mix,800,10,1-2,23.993895597000005,6,588,594,211,2.815165876777251,4,nan,nan,nan,nan,nan,nan,nan,nan
previous,/workspace/PureSheShe_prev,synthetic_mix,800,10,1-3,23.993895597000005,6,590,596,211,2.824644549763033,4,nan,nan,nan,nan,nan,nan,nan,nan
previous,/workspace/PureSheShe_prev,synthetic_mix,800,10,2-3,23.993895597000005,6,592,598,211,2.8341232227488153,4,nan,nan,nan,nan,nan,nan,nan,nan
